prefix;maxDigits;minDigits;usage;info
5230;13;7;local network code;Sellrain
5232;13;7;local network code;Kematen in Tirol
5234;13;7;local network code;Axams
5236;13;7;local network code;Gries im Sellrain
5238;13;7;local network code;Zirl
5239;13;7;local network code;Kühtai
5242;13;7;local network code;Schwaz
5243;13;7;local network code;Maurach
5244;13;7;local network code;Jenbach
5245;13;7;local network code;Hinterriß
5246;13;7;local network code;Achenkirch
5248;13;7;local network code;Steinberg am Rofan
5252;13;7;local network code;Oetz
5253;13;7;local network code;Längenfeld
5254;13;7;local network code;Sölden
5255;13;7;local network code;Umhausen
5256;13;7;local network code;Untergurgl
5262;13;7;local network code;Telfs
5263;13;7;local network code;Silz
5264;13;7;local network code;Mieming
5265;13;7;local network code;Nassereith
5266;13;7;local network code;Ötztal-Bahnhof
5272;13;7;local network code;Steinach am Brenner
5273;13;7;local network code;Matrei am Brenner
5274;13;7;local network code;Gries am Brenner
5275;13;7;local network code;Trins
5276;13;7;local network code;Gschnitz
5278;13;7;local network code;Navis
5279;13;7;local network code;Sankt Jodok am Brenner
5280;13;7;local network code;Hochfügen
5282;13;7;local network code;Zell am Ziller
5283;13;7;local network code;Kaltenbach
5284;13;7;local network code;Gerlos
5285;13;7;local network code;Mayrhofen
5286;13;7;local network code;Ginzling
5287;13;7;local network code;Tux
5288;13;7;local network code;Fügen
5289;13;7;local network code;Häusling
5331;13;7;local network code;Brandenberg
5332;13;7;local network code;Wörgl
5333;13;7;local network code;Söll
5334;13;7;local network code;Westendorf
5335;13;7;local network code;Hopfgarten im Brixental
5336;13;7;local network code;Alpbach
5337;13;7;local network code;Brixlegg
5338;13;7;local network code;Kundl
5339;13;7;local network code;Wildschönau
5352;13;7;local network code;Sankt Johann in Tirol
5353;13;7;local network code;Waidring
5354;13;7;local network code;Fieberbrunn
5355;13;7;local network code;Jochberg
5356;13;7;local network code;Kitzbühel
5357;13;7;local network code;Kirchberg in Tirol
5358;13;7;local network code;Ellmau
5359;13;7;local network code;Hochfilzen
5372;13;7;local network code;Kufstein
5373;13;7;local network code;Ebbs
5374;13;7;local network code;Walchsee
5375;13;7;local network code;Kössen
5376;13;7;local network code;Thiersee
5412;13;7;local network code;Imst
5413;13;7;local network code;Sankt Leonhard im Pitztal
5414;13;7;local network code;Wenns
5417;13;7;local network code;Roppen
5418;13;7;local network code;Schönwies
5441;13;7;local network code;See
5442;13;7;local network code;Landeck
5443;13;7;local network code;Galtür
5444;13;7;local network code;Ischgl
5445;13;7;local network code;Kappl
